state rawpoll_trump adjpoll_trump
U.S. 45.68 42.59492
Florida 49.84 50.54515
Maryland 25.98 34.02069
Virginia 36.84 44.656
Minnesota 26.85 34.86476
Ohio 43.52 43.50961
Colorado 38.55 38.46068
Oklahoma 44.56 52.86514
Alaska 37.98 47.24535
Oregon 35.01 35.54687
Nebraska 44.65 44.9541
Alabama 56.78 64.5621
Iowa 35.27 43.57603
"New Mexico" 29.96 38.51067
"North Carolina" 39.54 47.25672
Texas 42.1 49.77824
Arizona 32.1 40.05549
Missouri 44.0 46.28807
U.S. 46.61 44.54165
Colorado 28.49 36.53874
Washington 28.2 36.31346
Minnesota 35.0 37.80449
"New Hampshire" 28.86 38.49214
U.S. 46.55 43.48355
Maine 41.65 42.5328
U.S. 36.0 42.51469
Hawaii 22.49 31.89475
U.S. 47.15 44.08472
California 32.19 32.85172
"New York" 29.4 37.17538
Michigan 33.58 41.50391
"West Virginia" 48.64 57.38006
U.S. 46.77 43.70468
Nevada 33.81 42.25308
"West Virginia" 46.86 48.52791
U.S. 37.0 43.08214
U.S. 47.02 44.90026
U.S. 40.0 41.43769
Massachusetts 28.07 36.76879
U.S. 46.94 44.7694
Kansas 52.45 52.26217
Missouri 31.81 39.63685
Tennessee 49.44 50.08792
Iowa 44.18 44.97938
Indiana 55.66 55.16388
Ohio 42.0 45.06575
Mississippi 53.49 54.77177
U.S. 36.0 41.63977
Mississippi 53.12 61.08133
Florida 41.33 49.05643
U.S. 47.55 44.5131
Oregon 29.77 38.11253
Illinois 30.29 38.0098
U.S. 36.4 39.4653
Michigan 43.84 43.55091
Maine 32.25 41.74178
Oklahoma 48.41 48.32003
Louisiana 50.15 58.25555
California 30.35 38.1293
U.S. 46.66 44.44411
Michigan 32.7 37.48099
Kansas 33.94 42.48388
Indiana 32.25 40.04762
U.S. 47.38 44.36583
U.S. 40.0 43.2552
Missouri 50.78 51.15415
California 33.0 35.78773
"District of Columbia" 22.16 31.8813
U.S. 46.0 47.97445
U.S. 41.0 42.36021
Idaho 49.24 49.51498
"North Dakota" 41.81 51.17291
Wisconsin 24.49 32.4875
Louisiana 56.69 57.64643
Alabama 51.54 52.50522
U.S. 36.1 39.21987
"New York" 36.0 35.76955
Maryland 28.0 29.83572
Idaho 35.94 44.72742
U.S. 35.0 39.26363
Washington 35.41 36.09659
U.S. 38.0 42.55924
Connecticut 39.13 40.47231
Nevada 34.94 35.32178
U.S. 47.26 44.98906
Kentucky 46.34 47.33488
"New Jersey" 36.19 44.16198
U.S. 40.0 43.21493
Kentucky 40.03 48.39541
U.S. 38.0 42.22859
Georgia 39.72 47.55125
"New Hampshire" 39.0 40.59995
"New Hampshire" 47.86 48.88986
U.S. 47.62 44.62596
Delaware 23.01 31.9625
U.S. 37.0 41.24598
U.S. 46.68 44.34779
Washington 24.3 32.67793
Mississippi 47.98 56.11893
Georgia 47.01 47.16848
Minnesota 32.95 33.29052
U.S. 34.5 37.68624
Pennsylvania 36.05 43.84682
"West Virginia" 47.13 56.21998
U.S. 47.77 44.80798
Pennsylvania 44.29 44.58357
Pennsylvania 35.0 40.82263
U.S. 42.0 45.22085
Michigan 38.0 36.95943
"New Hampshire" 29.0 33.84234
"West Virginia" 48.45 50.40301
Georgia 45.0 48.29287
U.S. 46.7 44.33805
Connecticut 26.41 35.09148
Ohio 32.71 40.60557
Arkansas 42.42 50.97871
U.S. 39.0 43.20319
Illinois 32.0 34.91234
"South Carolina" 45.72 46.98977
Oregon 44.0 43.49139
Arizona 45.89 46.07766
Arizona 35.0 39.50903
Mississippi 46.0 48.72991
U.S. 34.09 42.23352
Massachusetts 31.85 32.73935
U.S. 33.2 36.46611
Texas 48.89 49.1377
U.S. 47.93 45.00661
Nebraska 41.5 42.2494
"South Dakota" 25.56 34.72294
Mississippi 51.86 53.41479
Montana 33.33 42.2024
Arkansas 47.65 48.90831
U.S. 46.16 43.7747
U.S. 30.9 38.84594
Maine 39.83 41.17957
Ohio 45.5 45.7267
Colorado 28.93 37.23688
"Rhode Island" 27.03 37.33568
Oklahoma 37.06 45.56671
"South Carolina" 40.17 48.27187
"North Carolina" 37.88 45.82233
U.S. 37.0 41.18309
Michigan 31.05 39.21982
"New York" 33.0 35.47621
Wisconsin 38.16 38.76679
U.S. 41.0 42.52651
Arizona 34.56 42.76449
U.S. 48.9 46.0142
Maryland 23.56 31.88299
U.S. 46.3 43.89955
U.S. 37.0 43.75143
"North Carolina" 44.7 44.93047
Florida 43.12 50.99732
Oregon 28.36 37.01727
Texas 42.35 50.17599
Illinois 36.68 37.17933
U.S. 33.5 36.86226
Iowa 30.31 38.92685
U.S. 36.0 41.29155
Idaho 44.22 44.78103
Kansas 47.97 48.22947
Tennessee 43.66 52.01099
Louisiana 49.56 57.8532
U.S. 48.73 45.87817
Missouri 33.32 41.38325
"North Dakota" 43.01 52.94513
Oklahoma 54.42 54.76337
Connecticut 40.0 39.67954
Illinois 29.4 37.27026
Indiana 31.52 39.55115
U.S. 34.2 37.67144
Massachusetts 26.0 30.06404
"New York" 28.47 29.50425
U.S. 38.0 41.39198
Alaska 28.39 38.22343
Virginia 31.32 39.37134
Iowa 39.52 40.77095
"New Mexico" 27.95 36.71936
U.S. 46.4 43.98642
Oregon 39.17 40.09674
Wisconsin 34.0 37.54282
U.S. 49.06 46.2414
Nevada 38.78 39.60319
Michigan 41.32 41.22913
"New Jersey" 33.98 42.20259
"New Hampshire" 39.45 40.77522
Nevada 33.9 42.55426
Nebraska 34.35 43.07547
Maine 17.56 27.62948
Florida 47.17 48.1099
Massachusetts 24.19 33.24181
U.S. 37.0 41.91802
"New York" 28.23 36.15947
Alabama 55.58 63.61662
Wyoming 40.77 50.4876
U.S. 34.7 38.28127
Virginia 36.87 37.24545
California 28.05 35.98363
Nebraska 49.39 50.42421
Minnesota 34.62 35.44436
Connecticut 37.43 39.22765
Indiana 55.4 55.37041
U.S. 43.0 47.05513
U.S. 48.61 45.82386
Wisconsin 27.08 35.33062
Alabama 48.14 49.52287
Missouri 46.1 46.94301
Tennessee 45.65 46.76698
Georgia 40.74 48.83105
Texas 45.87 47.03259
Mississippi 53.52 61.9714
"South Dakota" 34.67 44.39667
Idaho 36.13 45.2703
U.S. 45.29 42.88976
U.S. 33.6 37.27672
"South Carolina" 41.66 49.94926
U.S. 36.0 40.15593
Kentucky 45.34 46.77175
Arkansas 39.6 48.49733
Louisiana 50.38 51.75811
U.S. 40.0 41.23193
U.S. 48.23 45.47361
U.S. 38.0 42.07593
Pennsylvania 36.18 44.21029
U.S. 35.0 39.13004
"New Hampshire" 20.86 31.0758
Michigan 36.0 38.37245
Texas 45.36 45.87061
Minnesota 25.54 33.80956
Hawaii 22.95 32.92876
U.S. 44.84 42.45865
Vermont 9.46 19.54829
U.S. 37.0 41.10754
Kentucky 32.51 41.08117
Connecticut 25.54 34.44928
U.S. 39.0 43.03828
Minnesota 26.85 35.42646
Illinois 29.58 31.00107
Washington 25.56 34.25647
U.S. 35.4 39.15371
"District of Columbia" 24.78 35.08875
Maine 37.19 38.83227
U.S. 45.38 43.0211
U.S. 47.19 44.47815
Georgia 46.33 46.94051
Washington 32.57 33.74828
Alabama 56.17 64.38946
Arkansas 44.73 46.26977
Texas 39.7 47.76231
Massachusetts 32.51 33.91433
Florida 41.04 49.15867
Maryland 24.29 32.8158
California 24.2 25.02133
U.S. 33.61 42.04687
"New York" 29.64 31.60516
U.S. 35.2 39.0146
Ohio 34.34 42.47871
Nevada 38.33 39.43657
Illinois 29.41 37.52091
Colorado 28.53 37.14779
Nevada 41.46 50.45884
U.S. 46.34 44.0009
Kansas 47.54 48.08501
U.S. 41.0 44.226
Kansas 26.61 35.37209
Oklahoma 42.18 51.02209
Arizona 34.6 43.1044
U.S. 38.0 41.12175
U.S. 41.0 44.20262
U.S. 36.0 43.11996
Montana 28.11 37.34057
U.S. 39.0 43.02952
Delaware 32.29 41.79729
"New York" 31.38 32.68582
Georgia 37.0 39.23922
Illinois 26.24 27.00594
Iowa 41.45 42.98806
"New Jersey" 36.0 40.39681
Florida 33.1 39.20007
U.S. 46.09 43.39975
"New Mexico" 25.13 34.2511
Oklahoma 58.44 59.06378
Pennsylvania 41.77 42.21104
Wisconsin 39.27 40.35925
"West Virginia" 38.67 48.32061
Maryland 30.47 31.93991
Oregon 36.58 37.96068
U.S. 34.4 38.25
Oregon 27.93 36.81338
Idaho 49.0 51.66986
Indiana 35.57 43.88243
U.S. 36.0 40.36742
U.S. 46.5 43.82869
Arizona 44.56 44.94608
"South Carolina" 50.04 51.5858
Missouri 40.0 41.86995
Massachusetts 23.46 32.76542
Tennessee 44.62 53.17575
Indiana 47.0 49.36974
Missouri 31.19 39.53798
"New York" 31.36 39.53592
U.S. 47.09 44.74973
"North Carolina" 39.03 47.24406
Louisiana 51.78 60.39528
California 30.0 30.8504
Louisiana 48.16 49.81423
Virginia 29.32 37.65479
California 26.36 34.5405
U.S. 45.52 42.87303
U.S. 42.0 47.50455
Florida 42.0 43.02721
Michigan 29.24 37.706
Ohio 45.95 46.33293
Louisiana 52.0 53.45286
Missouri 41.13 42.4548
"New Jersey" 33.11 41.63445
"North Carolina" 43.83 44.23886
Indiana 54.13 54.5806
U.S. 34.6 38.48072
U.S. 51.0 50.04035
Florida 44.6 45.69451
U.S. 37.0 41.97129
Kansas 26.88 35.99339
U.S. 39.0 43.02161
U.S. 47.77 45.43086
California 26.06 27.81289
U.S. 45.13 42.50428
U.S. 36.0 36.31311
U.S. 39.0 43.09141
U.S. 34.0 38.81235
U.S. 35.0 38.9031
Iowa 32.81 41.65015
Colorado 39.74 40.10231
Georgia 43.94 52.21769
U.S. 38.0 41.82866
Nebraska 38.25 47.32448
Pennsylvania 45.28 46.63142
Wisconsin 29.07 37.62548
U.S. 47.7 45.38929
U.S. 45.46 42.86022
Tennessee 42.91 44.5089
Connecticut 26.51 35.77974
U.S. 35.4 39.32241
"New Jersey" 33.54 35.30133
U.S. 47.22 44.93201
Michigan 42.49 42.59489
Minnesota 33.97 35.28642
Massachusetts 29.58 31.49776
Washington 26.91 35.83532
Virginia 36.67 37.51344
Wisconsin 37.0 36.10681
Kentucky 39.74 48.65057
U.S. 38.0 42.02386
Pennsylvania 34.57 42.88147
Michigan 33.0 36.40319
"South Carolina" 39.4 48.0111
Alabama 54.53 56.1875
U.S. 43.0 43.84291
Idaho 40.41 50.11307
Ohio 38.71 40.01859
U.S. 40.0 44.06139
Washington 33.48 35.15574
Ohio 39.0 39.36713
U.S. 39.0 40.12393
Georgia 44.0 44.05931
U.S. 41.0 45.0996
U.S. 38.0 42.02952
U.S. 46.05 43.47429
U.S. 47.41 45.14214
Connecticut 36.71 38.79615
U.S. 34.0 39.25823
California 25.03 26.12325
Ohio 35.47 43.90155
U.S. 35.3 39.23574
Mississippi 52.99 61.9749
U.S. 40.0 44.14233
"New York" 28.83 37.30276
U.S. 32.68 41.32761
Texas 47.0 45.73233
Nevada 35.73 45.28559
U.S. 46.11 43.55615
U.S. 47.22 44.98417
Arizona 38.0 40.03252
Georgia 46.04 47.12074
Pennsylvania 43.29 43.99151
Texas 39.55 47.89694
"New York" 36.0 35.70338
U.S. 37.0 41.99392
Kentucky 47.01 48.72345
U.S. 36.0 40.26842
Alabama 56.78 65.31694
U.S. 39.0 43.1818
Illinois 29.27 37.67076
U.S. 38.0 42.20157
U.S. 46.68 44.48279
Ohio 40.69 41.34166
Minnesota 24.77 33.56694
U.S. 47.03 44.50747
Tennessee 46.25 55.1442
Wisconsin 36.52 38.10036
Massachusetts 22.0 31.69058
U.S. 36.0 40.22091
Arizona 46.01 46.87519
Maryland 25.86 34.72237
Wisconsin 41.0 44.17822
U.S. 45.83 43.67039
Florida 41.88 43.24172
U.S. 35.2 39.14464
U.S. 33.0 40.61972
"North Carolina" 37.33 45.73928
Virginia 29.96 38.49842
U.S. 34.0 39.97282
Colorado 23.91 32.75114
U.S. 37.0 41.47243
Florida 36.0 39.45675
Florida 41.41 43.42736
U.S. 37.0 41.42537
U.S. 33.4 37.34995
Florida 39.97 48.37935
"North Carolina" 44.26 45.12895
U.S. 41.0 41.75056
U.S. 46.78 44.29354
"New Jersey" 29.03 37.7713
Georgia 44.61 53.20881
Oklahoma 39.25 48.64219
U.S. 36.0 40.30357
Arizona 32.28 40.99985
Oregon 25.34 34.58223
"North Carolina" 39.0 42.99425
U.S. 44.15 42.02436
Missouri 32.83 41.38253
Montana 33.17 42.96717
Arkansas 40.99 50.43978
Michigan 30.08 38.75878
U.S. 46.9 44.4587
Oregon 39.05 40.71865
U.S. 36.0 40.37693
Michigan 43.78 44.36148
Maine 34.0 35.71584
U.S. 48.62 46.23376
U.S. 34.3 38.24542
California 27.51 35.98783
Indiana 30.45 38.9645
Georgia 42.0 42.49348
U.S. 36.0 40.33252
"New Mexico" 25.97 35.65305
U.S. 43.62 41.52758
Iowa 33.02 42.2163
Pennsylvania 35.21 43.72348
Maryland 29.37 31.12071
Louisiana 46.2 55.35574
U.S. 40.0 44.29313
Virginia 38.0 39.49666
"New Jersey" 32.85 35.10104
Nebraska 30.16 39.79445
U.S. 48.33 45.99932
U.S. 35.0 40.02017
U.S. 38.0 42.51521
U.S. 43.82 41.76005
U.S. 44.33 42.29979
U.S. 33.4 37.33352
Washington 24.38 33.66678
U.S. 48.52 46.25401
U.S. 35.5 39.41271
Wisconsin 27.23 36.00449
Kentucky 34.87 44.33358
Ohio 34.5 43.14192
U.S. 43.44 41.43659
"New York" 29.9 38.58601
U.S. 40.0 42.95834
Kansas 30.11 39.78501
Arizona 47.03 48.384
U.S. 48.29 46.10532
U.S. 38.4 39.98494
U.S. 33.27 42.26178
Virginia 39.02 40.34463
U.S. 36.8 40.68121
Florida 39.89 48.50818
"South Carolina" 39.17 48.32138
Connecticut 26.61 36.44801
U.S. 43.76 41.77433
Florida 43.0 43.81316
Minnesota 24.96 34.1104
U.S. 36.9 38.67922
U.S. 47.48 45.40097
Texas 37.44 45.99142
U.S. 38.2 39.8268
U.S. 31.3 39.20124
U.S. 36.0 40.55916
Virginia 28.95 37.82578
U.S. 36.1 38.57351
U.S. 47.24 45.28068
U.S. 36.8 38.88964
U.S. 44.34 42.37594
U.S. 46.0 47.20995
"North Carolina" 37.42 46.15858
"New Jersey" 31.6 40.6913
U.S. 40.0 41.09986
U.S. 44.67 42.72487
U.S. 38.0 41.83352
"North Carolina" 45.25 46.59472
U.S. 37.5 39.28017
California 26.11 34.80143
U.S. 34.0 37.30665
U.S. 34.7 37.59637
U.S. 38.7 40.81021
U.S. 35.8 39.46707
Michigan 42.89 43.95858
Arizona 26.9 35.96852
Illinois 28.61 37.21899
Indiana 35.98 44.83037
Colorado 23.95 33.14737
Colorado 38.74 39.38944
U.S. 34.2 37.7365
Alabama 54.53 63.60407
U.S. 37.0 41.9576
Maryland 21.31 30.72333
U.S. 45.01 43.08921
U.S. 37.4 41.16756
Oregon 26.09 35.89933
U.S. 47.47 45.62048
Missouri 34.72 43.61077
U.S. 39.8 42.2665
U.S. 48.0 48.70797
Michigan 33.02 42.04488
U.S. 45.26 43.36046
U.S. 39.0 44.01337
Pennsylvania 32.82 41.66928
U.S. 39.0 42.85583
Tennessee 41.48 50.92651
Iowa 28.17 37.93145
Massachusetts 21.5 31.77672
U.S. 33.0 40.69464
U.S. 44.04 42.16641
"West Virginia" 61.0 60.96923
Wisconsin 27.88 37.00656
U.S. 36.1 39.19236
U.S. 35.9 38.70055
U.S. 35.4 38.69432
"New Hampshire" 40.0 41.56755
U.S. 45.85 44.09391
U.S. 45.01 43.16047
U.S. 35.0 39.60734
Georgia 41.69 50.82857
U.S. 41.0 43.71259
Washington 27.17 37.02578
U.S. 33.8 37.12077
U.S. 37.0 42.01962
Texas 38.78 47.66959
Pennsylvania 40.0 40.19485
U.S. 45.29 43.46234
Ohio 35.27 44.25573
U.S. 36.0 40.98587
"New York" 27.65 36.68256
U.S. 40.0 44.19529
U.S. 33.1 36.43079
U.S. 37.0 41.90386
U.S. 33.2 36.53831
U.S. 40.0 43.02116
Missouri 43.0 45.88387
Minnesota 25.69 35.4036
U.S. 31.7 35.04837
U.S. 43.0 44.46638
U.S. 40.0 41.29691
Florida 40.47 49.43051
U.S. 45.92 44.24657
U.S. 41.0 44.06347
U.S. 37.0 41.92946
California 27.65 36.68832
U.S. 45.07 43.27366
Virginia 25.98 35.40731
Michigan 29.03 38.61275
U.S. 31.76 41.30824
Illinois 28.77 37.72075
U.S. 30.8 34.16558
U.S. 45.47 43.86594
U.S. 43.96 42.19973
U.S. 34.0 38.65126
U.S. 44.28 42.72776
U.S. 31.2 34.57279
Colorado 27.97 37.73256
Pennsylvania 35.0 37.97779
U.S. 43.65 41.93489
U.S. 41.0 40.86216
Wisconsin 38.0 36.92466
Georgia 50.0 48.54124
U.S. 37.0 40.96514
U.S. 38.0 40.90298
"North Carolina" 40.0 43.9985
U.S. 32.4 35.77538
Arizona 32.91 42.53823
"New Jersey" 28.6 38.25198
"North Carolina" 35.36 44.64429
Indiana 35.74 45.14082
U.S. 32.8 36.17657
Colorado 39.0 39.85341
U.S. 43.26 41.59995
U.S. 42.0 42.32358
U.S. 36.0 40.87165
U.S. 44.19 42.68804
U.S. 36.0 43.27814
Ohio 43.0 43.10528
U.S. 47.0 47.67512
Missouri 28.71 38.15294
Pennsylvania 33.0 37.09706
California 28.0 30.48699
U.S. 35.1 38.47627
U.S. 44.0 45.56404
U.S. 34.8 38.17606
Idaho 49.0 51.44349
U.S. 35.0 39.84257
U.S. 44.28 42.67551
U.S. 34.7 38.08454
"New York" 36.0 35.34126
U.S. 35.0 42.08817
U.S. 36.0 41.09486
Pennsylvania 30.59 39.98968
U.S. 34.2 37.59045
U.S. 40.0 45.33438
U.S. 33.1 36.498
U.S. 40.0 43.70245
U.S. 44.03 42.4902
U.S. 44.65 43.18731
U.S. 40.0 41.05568
Wisconsin 24.51 34.19875
U.S. 34.7 38.09436
U.S. 35.0 37.7774
U.S. 34.5 37.90395
U.S. 43.22 41.76151
U.S. 45.51 44.07752
Florida 38.0 41.85483
Ohio 33.7 43.24193
"New York" 26.04 35.63075
U.S. 41.0 43.55912
U.S. 45.14 43.7308
U.S. 37.0 42.04938
U.S. 45.07 43.67826
U.S. 44.05 42.69716
U.S. 35.0 38.4051
U.S. 41.0 42.27276
U.S. 36.0 41.16193
Texas 40.53 49.97171
Florida 38.4 47.91564
U.S. 34.4 37.80784
Florida 42.0 43.07651
Pennsylvania 44.3 47.18929
Virginia 35.0 36.58629
U.S. 44.56 43.32687
U.S. 37.0 44.13528
U.S. 40.0 41.72123
U.S. 40.0 43.75595
U.S. 36.0 43.18296
U.S. 34.2 37.61083
U.S. 45.15 43.7716
U.S. 35.0 40.25249
California 25.43 35.02676
Michigan 34.0 34.24837
Illinois 26.64 36.14546
U.S. 44.96 43.83666
U.S. 41.0 42.08928
U.S. 41.0 41.31857
U.S. 44.19 43.1601
U.S. 45.9 44.52593
U.S. 34.8 42.71972
U.S. 43.37 42.42275
U.S. 33.0 36.41327
U.S. 43.9 42.35705
U.S. 37.0 41.17312
U.S. 33.0 36.41722
U.S. 45.0 43.62166
U.S. 43.44 42.56212
U.S. 38.0 40.75745
U.S. 43.0 44.63767
U.S. 33.3 36.72425
U.S. 40.0 42.66884
U.S. 37.0 44.16267
U.S. 43.21 42.38394
U.S. 32.8 36.22499
U.S. 36.0 41.3544
U.S. 44.3 42.90519
U.S. 33.4 36.8239
U.S. 40.0 43.46912
U.S. 43.1 41.67765
U.S. 38.0 41.3451
U.S. 33.0 36.41959
U.S. 33.5 36.91923
U.S. 37.0 42.67792
U.S. 42.11 41.33422
U.S. 35.0 40.46357
U.S. 32.9 36.32347
U.S. 38.0 45.16867
U.S. 40.0 42.5036
U.S. 43.7 42.22918
U.S. 35.0 40.76402
Michigan 39.0 39.93916
U.S. 34.1 37.52376
U.S. 39.7 37.86987
U.S. 42.03 41.29349
U.S. 42.1 40.28081
U.S. 34.0 39.94494
U.S. 36.0 41.5734
Ohio 39.0 41.22263
U.S. 33.9 37.31745
U.S. 36.0 41.82426
Illinois 27.5 28.82602
U.S. 38.4 41.50565
U.S. 46.3 44.18438
U.S. 43.8 42.14532
U.S. 39.0 40.63167
"North Carolina" 41.0 42.10117
U.S. 32.7 36.10996
U.S. 35.0 40.9412
U.S. 38.7 36.85342
U.S. 39.4 37.53585
U.S. 41.55 40.8437
U.S. 45.5 43.68341
U.S. 33.0 36.4043
U.S. 46.1 43.66616
U.S. 31.9 35.30442
Minnesota 38.0 39.25222
U.S. 47.6 44.84993
U.S. 31.6 34.99928
U.S. 41.2 39.3336
U.S. 42.24 41.55698
U.S. 29.6 32.99085
U.S. 43.0 41.1215
U.S. 45.1 43.07452
U.S. 33.0 38.84903
U.S. 30.0 33.38115
U.S. 47.1 44.86432
"New Hampshire" 39.0 40.54473
U.S. 47.8 44.76182
U.S. 30.2 33.5777
U.S. 48.9 45.45519
U.S. 35.0 40.93045
U.S. 43.09 42.42445
U.S. 39.0 40.59895
U.S. 28.9 32.2741
U.S. 36.0 41.87409
U.S. 48.5 45.22685
U.S. 48.2 45.7201
U.S. 49.0 45.5154
U.S. 28.8 32.16832
U.S. 30.4 33.75501
U.S. 49.1 45.83652
U.S. 33.0 38.93907
U.S. 43.33 42.67778
U.S. 37.0 42.89663
U.S. 44.0 44.07003
U.S. 38.0 42.65336
U.S. 45.0 45.19511
Virginia 39.0 38.75778
U.S. 37.0 42.91615
U.S. 40.0 42.39213
U.S. 31.6 40.06728
"New Hampshire" 39.0 40.52064
U.S. 33.7 34.79867
U.S. 43.49 42.84211
"New Jersey" 36.0 39.24588
U.S. 40.0 44.85738
U.S. 33.7 34.78436
U.S. 48.9 46.1544
U.S. 34.0 35.11667
U.S. 49.2 46.18773
Florida 34.2 37.94634
U.S. 35.0 40.92977
U.S. 29.9 33.24535
Iowa 42.0 41.52548
U.S. 43.44 42.78784
U.S. 34.8 35.87025
U.S. 37.0 40.69909
U.S. 35.0 38.17333
U.S. 35.2 36.25687
U.S. 43.77 43.10137
"New Hampshire" 40.0 41.49698
U.S. 47.5 47.86497
U.S. 35.8 36.8433
U.S. 43.96 43.26383
U.S. 44.25 43.50537
U.S. 43.0 44.20558
U.S. 44.64 43.82323
U.S. 40.0 43.08039
U.S. 29.0 32.33359
U.S. 39.0 43.76965
U.S. 37.0 40.63069
U.S. 34.8 35.8308
U.S. 45.32 43.93056
U.S. 44.17 43.24151
U.S. 45.26 44.16959
U.S. 42.0 44.23861
U.S. 40.0 43.01193
Kansas 46.0 47.86329
U.S. 35.4 36.42086
"New Hampshire" 40.0 39.23964
U.S. 46.23 44.52234
U.S. 35.5 36.51094
U.S. 35.9 36.89922
U.S. 37.3 38.29021
U.S. 46.14 44.11611
U.S. 37.0 42.08288
U.S. 43.39 41.8805
U.S. 42.79 41.49071
U.S. 34.0 39.9113
U.S. 38.5 39.48838
U.S. 46.58 44.26801
U.S. 45.12 43.10059
Arizona 44.0 42.75058
U.S. 42.8 41.64768
U.S. 44.23 42.47629
Alaska 49.3 48.04663
U.S. 37.3 38.27579
U.S. 45.44 43.15392
U.S. 37.2 38.1632
U.S. 34.0 39.88232
U.S. 46.69 44.14304
U.S. 43.3 42.15979
U.S. 39.0 40.35388
Alabama 68.0 67.32191
U.S. 33.0 40.11372
U.S. 37.7 38.65574
U.S. 46.32 43.78271
U.S. 35.0 40.83852
U.S. 42.9 41.76204
U.S. 47.42 44.70137
U.S. 36.6 37.54653
U.S. 41.0 41.48533
U.S. 46.98 44.22159
U.S. 40.0 40.21077
U.S. 30.8 34.12388
U.S. 36.8 37.74027
U.S. 37.9 38.84825
U.S. 42.8 41.6796
U.S. 30.4 39.51139
U.S. 37.3 38.25659
U.S. 42.2 41.09606
U.S. 46.0 45.03668
Florida 47.0 48.31804
U.S. 37.0 37.95471
U.S. 41.0 43.16893
U.S. 38.3 39.24387
U.S. 42.0 43.31375
U.S. 41.0 41.98668
U.S. 38.0 42.6541
U.S. 40.0 44.70022
U.S. 42.1 41.007
Iowa 40.0 41.09665
U.S. 38.6 39.54705
"South Carolina" 44.0 45.55769
U.S. 43.2 42.11978
U.S. 37.7 38.64151
U.S. 38.8 39.74061
U.S. 43.6 42.52574
U.S. 39.9 40.83324
U.S. 47.0 46.32761
U.S. 40.4 41.3296
U.S. 38.2 39.1181
"New Hampshire" 38.0 38.46687
U.S. 43.5 42.4286
U.S. 40.1 41.00768
U.S. 40.2 41.09539
U.S. 35.0 41.95031
U.S. 37.6 38.48058
"South Carolina" 47.0 45.19826
U.S. 36.6 37.46718
U.S. 38.0 43.08431
Missouri 43.0 41.49557
U.S. 42.7 41.63045
U.S. 33.0 36.31267
U.S. 36.7 37.55452
U.S. 37.8 38.60749
U.S. 38.0 38.8108
Montana 51.4 49.7611
U.S. 37.8 38.61798
U.S. 36.8 37.6266
U.S. 36.3 37.14414
U.S. 36.8 37.6187
U.S. 36.5 37.30181
Nevada 44.0 44.81812
U.S. 38.0 41.99906
U.S. 36.7 37.50637
U.S. 42.0 43.9119
U.S. 36.3 37.09621
U.S. 35.4 36.2354
U.S. 35.3 36.09764
U.S. 41.0 42.17631
U.S. 41.0 44.37365
U.S. 41.0 43.20536
U.S. 33.9 34.69987
U.S. 44.0 43.38151
Virginia 35.0 34.94909
U.S. 38.0 39.17187
U.S. 29.6 39.25251
U.S. 34.9 35.70052
U.S. 47.0 48.29554
U.S. 40.0 44.52042
U.S. 35.2 35.99781
U.S. 34.2 34.99424
U.S. 33.1 33.89084
U.S. 34.4 35.18684
U.S. 34.0 34.7815
U.S. 33.6 34.37593
U.S. 36.2 36.96601
U.S. 35.7 36.47107
U.S. 40.0 44.58531
U.S. 35.2 35.95729
U.S. 38.0 42.55646
U.S. 34.2 34.94579
U.S. 34.1 34.83902
U.S. 38.0 42.58824
U.S. 39.0 43.56951
U.S. 31.9 32.63205
U.S. 47.0 45.46278
U.S. 31.2 31.92423
U.S. 33.4 34.11455
U.S. 37.0 41.49773
U.S. 38.0 42.58482
U.S. 44.0 42.47778
U.S. 33.2 33.90649
U.S. 41.0 40.03786
U.S. 40.0 39.83982
U.S. 38.0 38.78543
U.S. 33.6 34.20428
U.S. 40.0 44.55923
U.S. 34.2 34.88198
U.S. 33.6 34.29476
U.S. 33.6 34.22087
U.S. 32.4 32.98943
U.S. 33.5 34.15079
U.S. 35.6 36.27178
U.S. 34.0 34.63283
U.S. 33.2 33.77301
U.S. 40.0 41.3512
U.S. 33.1 33.66217
U.S. 37.0 41.54021
U.S. 35.4 35.94724
U.S. 35.6 36.13066
U.S. 36.8 37.31724
U.S. 36.0 40.59963
U.S. 36.7 37.20202
U.S. 46.0 43.95466
U.S. 41.0 40.30246
U.S. 37.8 38.2827
U.S. 36.8 37.25127
U.S. 45.0 46.99377
U.S. 38.0 42.53541
U.S. 40.1 40.48671
U.S. 39.6 39.95333
U.S. 40.5 40.87877
U.S. 40.4 40.76799
U.S. 40.2 40.5599
U.S. 37.8 38.20908
U.S. 37.0 37.82746
U.S. 38.0 42.4095
U.S. 37.7 38.04334
U.S. 38.8 39.13505
Florida 49.0 48.72924
U.S. 39.4 39.72614
U.S. 45.0 47.17962
U.S. 38.2 38.50582
U.S. 38.1 38.41598
U.S. 44.0 46.26475
U.S. 34.4 34.68233
U.S. 36.9 37.19493
U.S. 46.0 46.0232
U.S. 32.1 32.36926
U.S. 36.0 36.57245
U.S. 44.0 42.24252
U.S. 32.1 32.35689
U.S. 43.0 45.12067
U.S. 38.0 42.28938
U.S. 32.0 32.24656
U.S. 32.2 32.43957
U.S. 33.8 34.02797
U.S. 51.0 49.51869
Florida 41.0 42.48889
U.S. 34.5 34.71687
U.S. 37.0 41.08485
U.S. 38.0 42.16779
U.S. 37.4 37.57443
