Id,MSZoning,LotArea,LotShape,OverallCond,YearBuilt,RoofStyle,Foundation,TotalBsmtSF,Heating,Electrical,GrLivArea,KitchenQual,TotRmsAbvGrd,GarageType,GarageYrBlt,GarageArea,GarageCond,YrSold,SalePrice
631,RM,9000,Reg,6,1880,Gable,BrkTil,636.0,GasA,FuseA,1750,Ex,8,Detchd,1937.0,240.0,Po,2006,124000.0
632,RL,4590,Reg,5,2006,Gable,PConc,1554.0,GasA,SBrkr,1554,Gd,6,Attchd,2006.0,627.0,TA,2007,209500.0
633,RL,11900,Reg,5,1977,Hip,CBlock,1386.0,GasA,SBrkr,1411,TA,6,Attchd,1977.0,544.0,TA,2009,82500.0
634,RL,9250,Reg,7,1954,Gable,CBlock,1056.0,GasA,SBrkr,1056,TA,6,Attchd,1954.0,260.0,TA,2007,139400.0
635,RL,6979,Reg,5,1980,Gable,CBlock,1056.0,GasA,SBrkr,1056,TA,4,Detchd,1980.0,576.0,TA,2010,144000.0
638,RM,6000,Reg,4,1954,Gable,CBlock,811.0,GasA,FuseA,1387,Gd,7,BuiltIn,1954.0,256.0,TA,2009,93000.0
640,RL,3982,Reg,5,2006,Hip,PConc,1520.0,GasA,SBrkr,1567,Ex,7,Attchd,2006.0,648.0,TA,2006,264561.0
641,RL,12677,IR1,5,2003,Hip,PConc,1518.0,GasA,SBrkr,1518,Ex,6,Attchd,2003.0,588.0,TA,2008,274000.0
642,FV,7050,Reg,5,2001,Gable,PConc,1057.0,GasA,SBrkr,1929,Gd,7,Attchd,2001.0,650.0,TA,2007,226000.0
643,RL,13860,Reg,7,1972,Gable,CBlock,1952.0,GasA,SBrkr,2704,Ex,9,Attchd,1972.0,538.0,TA,2009,345000.0
644,RL,10793,Reg,5,1969,Mansard,CBlock,780.0,GasA,SBrkr,1620,TA,7,Attchd,1969.0,462.0,TA,2007,152000.0
645,FV,9187,Reg,5,2009,Gable,PConc,1766.0,GasA,SBrkr,1766,Ex,7,Attchd,2009.0,478.0,TA,2009,370878.0
646,RL,10530,IR1,5,1971,Hip,CBlock,981.0,GasA,SBrkr,981,TA,5,Detchd,1979.0,576.0,TA,2007,143250.0
647,RL,7200,Reg,5,1950,Hip,CBlock,0.0,GasA,SBrkr,1048,TA,7,Detchd,1950.0,420.0,TA,2008,98300.0
648,RL,10452,IR1,5,1953,Hip,CBlock,1094.0,GasA,SBrkr,1094,TA,5,Attchd,1953.0,495.0,TA,2008,155000.0
649,RL,7700,Reg,5,1966,Gable,CBlock,756.0,GasA,SBrkr,1839,TA,7,Attchd,1966.0,442.0,TA,2010,155000.0
651,FV,8125,Reg,6,2007,Gable,PConc,813.0,GasA,SBrkr,1665,Gd,7,Attchd,2007.0,562.0,TA,2008,205950.0
652,RL,9084,Reg,5,1940,Gable,CBlock,755.0,GasA,SBrkr,1510,TA,7,Detchd,1940.0,296.0,Po,2009,108000.0
653,RL,8750,Reg,5,1996,Gable,PConc,880.0,GasA,SBrkr,1716,Gd,7,Attchd,1996.0,512.0,TA,2009,191000.0
654,RM,10320,Reg,7,1906,Gable,CBlock,756.0,GasA,SBrkr,1469,TA,7,Detchd,1906.0,216.0,TA,2008,135000.0
655,RL,10437,IR1,6,1995,Hip,PConc,2109.0,GasA,SBrkr,2113,Gd,7,Attchd,1995.0,839.0,TA,2008,350000.0
656,RM,1680,Reg,5,1971,Gable,CBlock,525.0,GasA,SBrkr,1092,TA,6,Detchd,1971.0,264.0,TA,2010,88000.0
657,RL,10007,IR1,7,1959,Gable,CBlock,1053.0,GasA,SBrkr,1053,Gd,5,Attchd,1959.0,312.0,TA,2008,145500.0
658,RL,7200,Reg,6,1931,Gable,BrkTil,776.0,GasA,SBrkr,1502,TA,6,Attchd,1931.0,270.0,TA,2008,149000.0
659,RL,17503,Reg,5,1948,Gable,CBlock,912.0,GasA,SBrkr,1458,TA,6,Attchd,1948.0,330.0,TA,2010,97500.0
660,RL,9937,Reg,7,1964,Hip,PConc,1486.0,GasA,SBrkr,1486,TA,7,Detchd,1968.0,480.0,TA,2009,167000.0
661,RL,12384,Reg,7,1976,Gable,CBlock,793.0,GasA,SBrkr,1935,TA,7,Attchd,1976.0,550.0,TA,2007,197900.0
662,RL,46589,IR2,7,1994,Hip,PConc,1629.0,GasA,SBrkr,2448,Gd,8,Attchd,1994.0,711.0,TA,2009,402000.0
663,RL,13560,Reg,3,1968,Hip,CBlock,1392.0,GasA,SBrkr,1392,TA,5,Attchd,1968.0,576.0,TA,2009,110000.0
664,RL,10012,Reg,5,1972,Gable,CBlock,1138.0,GasA,SBrkr,1181,TA,6,Detchd,1974.0,588.0,TA,2008,137500.0
665,RL,20896,IR2,5,2005,Gable,PConc,2077.0,GasA,SBrkr,2097,Ex,8,Attchd,2005.0,1134.0,TA,2006,423000.0
666,RL,11194,IR1,5,2000,Gable,PConc,1406.0,GasA,SBrkr,1936,Gd,7,Attchd,2000.0,504.0,TA,2006,230500.0
667,RL,18450,IR1,5,1965,Flat,CBlock,1021.0,GasA,SBrkr,2380,TA,7,CarPort,1965.0,596.0,TA,2007,129000.0
668,RL,8125,Reg,5,1994,Gable,PConc,1408.0,GasA,SBrkr,1679,Gd,7,Attchd,1994.0,575.0,TA,2008,193500.0
669,RL,14175,Reg,6,1956,Gable,CBlock,1188.0,GasA,SBrkr,1437,TA,6,Detchd,1999.0,576.0,TA,2006,168000.0
670,RL,11600,Reg,5,1922,Gable,BrkTil,700.0,GasA,SBrkr,1180,Fa,5,Detchd,1922.0,252.0,Fa,2006,137500.0
671,RL,8633,Reg,5,2005,Gable,PConc,738.0,GasA,SBrkr,1476,Gd,7,Attchd,2005.0,540.0,TA,2009,173500.0
672,RH,6629,Reg,6,1925,Gambrel,BrkTil,672.0,GasA,SBrkr,1369,TA,6,Detchd,1930.0,300.0,TA,2009,103600.0
673,RL,11250,IR1,6,1977,Gable,CBlock,1208.0,GasA,SBrkr,1208,TA,6,Attchd,1977.0,546.0,TA,2006,165000.0
674,RL,14442,Reg,7,1957,Hip,PConc,1477.0,GasA,SBrkr,1839,Gd,7,Attchd,1957.0,416.0,TA,2007,257500.0
675,RL,9200,Reg,6,1965,Gable,CBlock,1136.0,GasA,SBrkr,1136,TA,5,Attchd,1965.0,384.0,TA,2008,140000.0
676,RL,2289,Reg,6,1978,Gable,CBlock,855.0,GasA,SBrkr,1441,TA,7,Attchd,1978.0,440.0,TA,2009,148500.0
677,RM,9600,Reg,2,1900,Gable,BrkTil,1095.0,GasW,SBrkr,1774,TA,8,2Types,1920.0,779.0,Fa,2006,87000.0
678,RL,9022,Reg,8,1924,Gable,BrkTil,768.0,GasA,SBrkr,792,Gd,5,Detchd,1924.0,240.0,Fa,2009,109500.0
679,RL,11844,IR1,5,2008,Hip,PConc,2046.0,GasA,SBrkr,2046,Gd,7,Attchd,2008.0,834.0,TA,2009,372500.0
680,RL,9945,IR1,5,1961,Hip,CBlock,988.0,GasA,SBrkr,988,TA,5,Detchd,1963.0,572.0,TA,2007,128500.0
681,RL,8012,Reg,5,1980,Gable,CBlock,923.0,GasA,SBrkr,923,TA,5,Attchd,1980.0,264.0,TA,2010,143000.0
682,RH,4500,IR2,5,1932,Gable,BrkTil,793.0,GasA,SBrkr,1520,TA,6,Detchd,1968.0,281.0,TA,2009,159434.0
683,RL,2887,Reg,5,1996,Gable,PConc,1291.0,GasA,SBrkr,1291,Gd,6,Attchd,1996.0,431.0,TA,2008,173000.0
684,RL,11248,IR1,5,2002,Hip,PConc,1626.0,GasA,SBrkr,1668,Gd,7,Attchd,2002.0,702.0,TA,2007,285000.0
685,RL,16770,IR2,5,1998,Gable,PConc,1195.0,GasA,SBrkr,1839,TA,7,Attchd,1998.0,486.0,TA,2010,221000.0
686,RL,5062,IR1,5,1984,Gable,CBlock,1190.0,GasA,SBrkr,2090,Gd,6,Attchd,1984.0,577.0,TA,2007,207500.0
687,FV,10207,Reg,6,2007,Gable,PConc,874.0,GasA,SBrkr,1761,Gd,7,Attchd,2007.0,578.0,TA,2007,227875.0
688,FV,5105,IR2,5,2004,Gable,PConc,551.0,GasA,SBrkr,1102,Gd,4,Detchd,2004.0,480.0,TA,2007,148800.0
689,RL,8089,Reg,6,2007,Gable,PConc,1419.0,GasA,SBrkr,1419,Gd,7,Attchd,2007.0,567.0,TA,2007,392000.0
690,RL,7577,IR1,5,2005,Gable,PConc,1362.0,GasA,SBrkr,1362,Gd,6,Attchd,2005.0,460.0,TA,2007,194700.0
691,RM,4426,Reg,5,2004,Gable,PConc,848.0,GasA,SBrkr,848,Gd,3,Attchd,2004.0,420.0,TA,2008,141000.0
692,RL,21535,IR1,6,1994,Gable,PConc,2444.0,GasA,SBrkr,4316,Ex,10,Attchd,1994.0,832.0,TA,2007,755000.0
693,RL,26178,IR1,5,1989,Hip,PConc,1210.0,GasA,SBrkr,2519,Gd,9,Attchd,1989.0,628.0,TA,2006,335000.0
694,RL,5400,Reg,6,1921,Gable,BrkTil,1073.0,GasA,SBrkr,1073,TA,4,Detchd,1968.0,326.0,TA,2006,108480.0
695,RM,6120,Reg,6,1936,Gable,BrkTil,927.0,GasA,SBrkr,1539,TA,5,Detchd,1995.0,576.0,TA,2009,141500.0
696,RL,13811,IR1,6,1987,Gable,CBlock,1112.0,GasA,SBrkr,1137,Gd,5,Attchd,1987.0,551.0,TA,2006,176000.0
697,RM,6000,Reg,7,1921,Gable,CBlock,616.0,GasA,SBrkr,616,TA,4,Detchd,1921.0,205.0,TA,2006,89000.0
698,RL,6420,IR1,7,1952,Gable,PConc,980.0,GasA,FuseA,1148,TA,6,Detchd,1952.0,308.0,TA,2006,123500.0
699,RL,8450,Reg,8,1965,Gable,CBlock,894.0,GasA,SBrkr,894,TA,5,Detchd,1973.0,336.0,TA,2010,138500.0
700,FV,4282,IR2,5,2004,Gable,PConc,1391.0,GasA,SBrkr,1391,Gd,5,Attchd,2004.0,530.0,TA,2008,196000.0
701,RL,14331,Reg,5,2002,Hip,PConc,1800.0,GasA,SBrkr,1800,Gd,7,Attchd,2002.0,765.0,TA,2006,312500.0
702,RL,9600,Reg,5,1969,Hip,CBlock,1164.0,GasA,SBrkr,1164,TA,6,Attchd,1969.0,528.0,TA,2006,140000.0
703,RL,12438,IR1,5,2006,Hip,PConc,1234.0,GasA,SBrkr,2576,Ex,10,BuiltIn,2006.0,666.0,TA,2006,361919.0
704,RM,7630,Reg,9,1900,Gable,BrkTil,360.0,GasA,SBrkr,1812,Gd,8,Detchd,1999.0,672.0,TA,2010,140000.0
705,RL,8400,Reg,5,2004,Gable,PConc,1473.0,GasA,SBrkr,1484,Gd,7,Attchd,2004.0,606.0,TA,2010,213000.0
707,RL,115149,IR2,5,1971,Gable,CBlock,1643.0,GasA,SBrkr,1824,Gd,5,Attchd,1971.0,739.0,TA,2007,302000.0
708,RL,6240,Reg,5,2006,Hip,PConc,1324.0,GasA,SBrkr,1324,Gd,6,Attchd,2006.0,550.0,TA,2009,254000.0
709,RL,9018,IR1,5,2007,Hip,PConc,728.0,GasA,SBrkr,1456,Gd,8,Attchd,2007.0,400.0,TA,2007,179540.0
710,RL,7162,IR1,7,1966,Gable,PConc,876.0,GasA,SBrkr,904,TA,6,Attchd,1966.0,408.0,TA,2008,109900.0
712,C (all),8712,Reg,7,1900,Gable,Stone,859.0,GasA,SBrkr,1178,TA,7,Detchd,1964.0,384.0,TA,2010,102776.0
713,RL,4671,IR1,5,1988,Gable,PConc,1228.0,GasA,SBrkr,1228,Gd,5,Attchd,1988.0,472.0,TA,2008,189000.0
714,RL,9873,Reg,5,1970,Gable,CBlock,960.0,GasW,SBrkr,960,TA,6,Detchd,1970.0,576.0,TA,2006,129000.0
715,RL,13517,IR1,8,1976,Gable,CBlock,725.0,GasA,SBrkr,1479,Gd,6,Attchd,1976.0,475.0,TA,2010,130500.0
716,RL,10140,Reg,5,1974,Hip,CBlock,1064.0,GasA,SBrkr,1350,TA,7,Attchd,1974.0,478.0,TA,2009,165000.0
717,RM,10800,Reg,8,1890,Gable,BrkTil,718.0,GasA,SBrkr,2554,TA,8,Detchd,1996.0,704.0,TA,2007,159500.0
718,RL,10000,Reg,6,1973,Gable,CBlock,1176.0,GasA,SBrkr,1178,Gd,5,Attchd,1973.0,439.0,TA,2008,157000.0
719,RL,10542,Reg,5,1993,Hip,PConc,1311.0,GasA,SBrkr,2418,Gd,9,Attchd,1993.0,983.0,TA,2008,341000.0
720,RL,9920,IR1,6,1969,Gable,CBlock,971.0,GasA,SBrkr,971,TA,5,Attchd,1969.0,300.0,TA,2006,128500.0
721,RL,6563,IR1,5,1985,Gable,PConc,1742.0,GasA,SBrkr,1742,Gd,5,Attchd,1985.0,564.0,TA,2006,275000.0
722,RM,4426,Reg,5,2004,Gable,PConc,848.0,GasA,SBrkr,848,Gd,3,Attchd,2004.0,420.0,TA,2010,143000.0
723,RL,8120,Reg,7,1970,Gable,CBlock,864.0,GasA,SBrkr,864,TA,5,Detchd,1994.0,463.0,TA,2009,124500.0
724,RL,8172,Reg,6,1954,Gable,PConc,941.0,GasA,SBrkr,1470,TA,7,Detchd,1958.0,548.0,TA,2008,135000.0
725,RL,13286,IR1,5,2007,Hip,PConc,1698.0,GasA,SBrkr,1698,Ex,8,Attchd,2007.0,768.0,TA,2009,320000.0
726,RL,6960,Reg,6,1970,Gable,CBlock,864.0,GasA,SBrkr,864,Gd,5,Detchd,1989.0,660.0,TA,2009,120500.0
727,RL,21695,IR1,9,1988,Hip,CBlock,880.0,GasA,SBrkr,1680,Gd,5,Attchd,1988.0,540.0,TA,2009,222000.0
728,RL,7314,Reg,5,2007,Gable,PConc,1232.0,GasA,SBrkr,1232,Gd,6,Attchd,2007.0,632.0,TA,2009,194500.0
729,RL,11475,Reg,5,1958,Gable,CBlock,1584.0,GasA,SBrkr,1776,TA,9,Detchd,1968.0,888.0,TA,2009,110000.0
730,RM,6240,Reg,5,1925,Gable,CBlock,780.0,GasA,FuseA,1208,TA,5,Detchd,1962.0,539.0,TA,2009,103000.0
731,RL,5389,IR1,5,1995,Gable,PConc,1595.0,GasA,SBrkr,1616,Gd,5,Attchd,1995.0,608.0,TA,2010,236500.0
732,RL,9590,IR1,5,2003,Gable,PConc,868.0,GasA,SBrkr,1146,Gd,6,Attchd,2003.0,438.0,TA,2007,187500.0
733,RL,11404,IR1,5,1998,Gable,PConc,1153.0,GasA,SBrkr,2031,Gd,8,Attchd,1998.0,541.0,TA,2008,222500.0
734,RL,10000,Reg,6,1961,Hip,CBlock,864.0,GasA,SBrkr,1144,TA,6,Attchd,1961.0,264.0,TA,2009,131400.0
735,RL,8978,IR1,5,1968,Gable,PConc,948.0,GasA,SBrkr,948,TA,6,Attchd,1968.0,300.0,TA,2007,108000.0
736,RM,10800,Reg,7,1914,Gable,BrkTil,880.0,GasW,SBrkr,1768,TA,6,Detchd,1914.0,320.0,TA,2006,163000.0
737,RL,8544,Reg,4,1950,Gable,CBlock,0.0,GasA,FuseF,1040,TA,6,Detchd,1949.0,400.0,TA,2006,93500.0
738,RL,10463,IR1,5,2005,Gable,PConc,893.0,GasA,SBrkr,1801,Gd,8,Attchd,2005.0,800.0,TA,2006,239900.0
740,RL,9313,IR1,5,2004,Gable,PConc,864.0,GasA,SBrkr,1728,Gd,7,Attchd,2004.0,572.0,TA,2009,190000.0
741,RM,9600,Reg,7,1910,Gable,BrkTil,264.0,GasA,SBrkr,1432,TA,7,Detchd,1910.0,360.0,Gd,2007,132000.0
742,RL,6768,IR1,8,1961,Hip,CBlock,912.0,GasA,SBrkr,912,Gd,5,Detchd,1962.0,288.0,TA,2008,142000.0
743,RL,8450,Reg,5,2000,Gable,PConc,1349.0,GasA,SBrkr,1349,TA,6,Attchd,2000.0,539.0,TA,2007,179000.0
744,RL,12886,IR1,6,1963,Gable,CBlock,520.0,GasA,SBrkr,1464,TA,6,Attchd,1997.0,480.0,TA,2009,175000.0
745,RL,5395,IR1,5,1993,Gable,PConc,1337.0,GasA,SBrkr,1337,Gd,5,Attchd,1993.0,462.0,TA,2008,180000.0
746,RL,8963,IR1,9,1976,Hip,CBlock,1142.0,GasA,SBrkr,2715,Gd,11,BuiltIn,1994.0,831.0,TA,2008,299800.0
747,RL,8795,IR1,5,2000,Gable,PConc,952.0,GasA,SBrkr,2256,Gd,8,BuiltIn,2000.0,554.0,TA,2009,236000.0
748,RM,11700,IR1,7,1880,Mansard,Stone,1240.0,GasW,SBrkr,2640,Gd,8,Detchd,1950.0,864.0,TA,2009,265979.0
749,RL,10593,IR1,5,1996,Hip,PConc,1720.0,GasA,SBrkr,1720,Gd,7,Attchd,1996.0,527.0,TA,2010,260400.0
750,RL,8405,Reg,3,1945,Gable,Slab,0.0,Wall,FuseF,1529,TA,9,Detchd,1945.0,240.0,TA,2009,98000.0
752,RL,7750,Reg,5,2003,Gable,PConc,660.0,GasA,SBrkr,1320,Gd,6,Attchd,2003.0,400.0,TA,2007,162000.0
753,RL,9236,IR1,5,1997,Gable,PConc,1479.0,GasA,SBrkr,1494,Gd,6,Attchd,1997.0,576.0,TA,2006,217000.0
754,RL,10240,Reg,5,2005,Gable,PConc,1030.0,GasA,SBrkr,2098,Ex,8,Attchd,2005.0,878.0,TA,2006,275500.0
755,RL,7930,Reg,8,1969,Gable,CBlock,1026.0,GasA,SBrkr,1026,Gd,5,Detchd,1969.0,440.0,TA,2009,156000.0
756,FV,3230,Reg,5,1999,Gable,PConc,729.0,GasA,SBrkr,1471,TA,6,Detchd,1999.0,440.0,TA,2009,172500.0
757,RL,10769,IR1,5,2007,Gable,PConc,866.0,GasA,SBrkr,1768,Gd,7,Attchd,2007.0,578.0,TA,2009,212000.0
758,RL,11616,IR1,5,1978,Hip,CBlock,672.0,GasA,SBrkr,1386,TA,6,Attchd,1978.0,440.0,TA,2010,158900.0
759,FV,2280,Reg,5,1999,Gable,PConc,744.0,GasA,SBrkr,1501,TA,6,Detchd,1999.0,440.0,TA,2008,179400.0
760,RL,12257,IR1,5,1995,Gable,PConc,1318.0,GasA,SBrkr,2531,Gd,9,Attchd,1995.0,752.0,TA,2007,290000.0
761,RL,9100,Reg,6,1959,Hip,CBlock,864.0,GasA,SBrkr,864,TA,5,Detchd,2008.0,300.0,Ex,2009,127500.0
762,RM,6911,Reg,5,1924,Gable,PConc,1145.0,GasA,SBrkr,1301,Fa,5,Detchd,1965.0,440.0,TA,2009,100000.0
763,FV,8640,Reg,5,2009,Gable,PConc,756.0,GasA,SBrkr,1547,Gd,7,Attchd,2009.0,614.0,TA,2010,215200.0
764,RL,9430,Reg,5,1999,Gable,PConc,1252.0,GasA,SBrkr,2365,Gd,8,Attchd,1999.0,856.0,TA,2009,337000.0
765,RL,9549,IR1,5,1995,Hip,PConc,1494.0,GasA,SBrkr,1494,Ex,6,Attchd,1995.0,481.0,TA,2006,270000.0
766,RL,14587,IR1,5,2008,Gable,PConc,1498.0,GasA,SBrkr,1506,Ex,6,Attchd,2008.0,592.0,TA,2008,264132.0
767,RL,10421,Reg,5,1988,Gable,CBlock,980.0,GasA,SBrkr,1714,TA,7,Attchd,1988.0,496.0,TA,2010,196500.0
768,RL,12508,IR1,7,1940,Gable,CBlock,983.0,GasA,SBrkr,1750,TA,7,Attchd,1989.0,423.0,TA,2008,160000.0
769,RL,9100,Reg,5,2004,Hip,PConc,1860.0,GasA,SBrkr,1836,Gd,8,Attchd,2004.0,484.0,TA,2006,216837.0
770,RL,53504,IR2,5,2003,Hip,PConc,1650.0,GasA,SBrkr,3279,Ex,12,BuiltIn,2003.0,841.0,TA,2010,538000.0
771,RL,7252,IR1,5,1982,Hip,CBlock,858.0,GasA,SBrkr,858,TA,5,Detchd,1983.0,576.0,TA,2009,134900.0
772,RL,8877,Reg,5,1951,Gable,CBlock,836.0,GasA,FuseF,1220,TA,6,Detchd,1951.0,396.0,TA,2006,102000.0
773,RL,7819,Reg,5,1976,Gable,CBlock,1029.0,GasA,SBrkr,1117,TA,6,Detchd,1976.0,672.0,TA,2010,107000.0
774,RL,10150,Reg,5,1958,Gable,CBlock,912.0,GasA,FuseA,912,TA,5,Attchd,1958.0,275.0,TA,2007,114500.0
775,RL,14226,Reg,5,2006,Hip,PConc,1935.0,GasA,SBrkr,1973,Gd,9,Attchd,2006.0,895.0,TA,2007,395000.0
776,RM,4500,Reg,5,1998,Hip,PConc,1204.0,GasA,SBrkr,1204,TA,5,Attchd,1998.0,412.0,TA,2009,162000.0
777,RL,11210,IR1,5,2005,Gable,PConc,1614.0,GasA,SBrkr,1614,Gd,7,Attchd,2005.0,865.0,TA,2006,221500.0
778,RL,13350,IR1,5,1974,Hip,CBlock,864.0,GasA,SBrkr,894,TA,5,Attchd,1974.0,440.0,TA,2006,142500.0
779,RH,8400,Reg,5,1977,Gable,Slab,0.0,GasA,SBrkr,2020,TA,10,Detchd,1977.0,630.0,TA,2007,144000.0
780,RL,10530,Reg,5,1977,Gable,CBlock,975.0,GasA,SBrkr,1004,TA,4,Attchd,1977.0,504.0,TA,2006,135000.0
781,RL,7875,Reg,5,1995,Gable,PConc,1237.0,GasA,SBrkr,1253,TA,6,Attchd,1995.0,402.0,TA,2007,176000.0
782,RL,7153,Reg,5,1992,Gable,PConc,761.0,GasA,SBrkr,1603,Gd,7,Attchd,1992.0,484.0,TA,2006,175900.0
783,RL,16285,IR2,5,2001,Gable,PConc,1413.0,GasA,SBrkr,1430,Gd,6,Attchd,2001.0,605.0,TA,2009,187100.0
784,RL,9101,IR1,6,1978,Gable,PConc,1097.0,GasA,SBrkr,1110,Gd,4,Attchd,1978.0,602.0,TA,2009,165500.0
786,RL,9790,Reg,5,1967,Gable,CBlock,1372.0,GasA,SBrkr,1342,TA,7,Attchd,1967.0,457.0,TA,2009,161500.0
787,RM,10800,Reg,6,1915,Gable,PConc,686.0,GasA,SBrkr,1652,TA,7,Detchd,1961.0,416.0,TA,2010,139000.0
788,RL,10142,IR1,5,2004,Gable,PConc,956.0,GasA,SBrkr,2084,Gd,8,BuiltIn,2004.0,618.0,TA,2010,233000.0
789,RM,6000,Reg,7,1954,Gable,CBlock,901.0,GasA,SBrkr,901,TA,4,Detchd,1954.0,281.0,TA,2008,107900.0
790,RL,12205,IR1,8,1966,Gable,CBlock,832.0,GasA,SBrkr,2087,Gd,9,Attchd,1966.0,444.0,TA,2007,187500.0
791,RL,3182,Reg,5,2005,Gable,PConc,1145.0,GasA,SBrkr,1145,Gd,5,Attchd,2005.0,397.0,TA,2009,160200.0
792,RL,11333,IR1,5,1976,Gable,PConc,1029.0,GasA,SBrkr,1062,TA,5,Attchd,1976.0,539.0,TA,2007,146800.0
793,RL,9920,IR1,5,1996,Gable,PConc,1117.0,GasA,SBrkr,2013,TA,8,Attchd,1997.0,455.0,TA,2007,269790.0
794,RL,9158,Reg,5,2007,Gable,PConc,1496.0,GasA,SBrkr,1496,Gd,7,Attchd,2007.0,474.0,TA,2007,225000.0
795,RL,10832,IR1,5,1994,Gable,PConc,712.0,GasA,SBrkr,1895,Gd,7,Attchd,1994.0,409.0,TA,2008,194500.0
796,RL,8400,Reg,6,1980,Gable,CBlock,650.0,GasA,SBrkr,1564,TA,7,Attchd,1980.0,476.0,TA,2010,171000.0
797,RL,8197,Reg,5,1977,Gable,CBlock,660.0,GasA,SBrkr,1285,TA,7,Attchd,1977.0,528.0,TA,2007,143500.0
798,RL,7677,Reg,5,1953,Gable,CBlock,773.0,GasA,SBrkr,773,TA,4,Attchd,1953.0,240.0,TA,2008,110000.0
799,RL,13518,Reg,5,2008,Hip,PConc,1926.0,GasA,SBrkr,3140,Ex,11,BuiltIn,2009.0,820.0,TA,2009,485000.0
800,RL,7200,Reg,7,1937,Gable,BrkTil,731.0,GasA,SBrkr,1768,Gd,7,Detchd,1939.0,240.0,TA,2007,175000.0
801,RL,12798,IR1,5,1997,Gable,PConc,616.0,GasA,SBrkr,1688,Gd,8,Attchd,1997.0,603.0,TA,2008,200000.0
802,RM,4800,Reg,7,1916,Gable,CBlock,1196.0,GasA,FuseA,1196,TA,5,Detchd,1957.0,440.0,TA,2007,109900.0
803,RL,8199,Reg,5,2005,Gable,PConc,728.0,GasA,SBrkr,1456,Gd,7,Attchd,2005.0,410.0,TA,2008,189000.0
804,RL,13891,Reg,5,2008,Hip,PConc,1734.0,GasA,SBrkr,2822,Ex,12,BuiltIn,2009.0,1020.0,TA,2009,582933.0
805,RL,9000,Reg,5,1954,Gable,CBlock,936.0,GasA,SBrkr,1128,TA,5,Attchd,1954.0,286.0,TA,2006,118000.0
806,RL,12274,IR1,5,2008,Gable,PConc,1417.0,GasA,SBrkr,1428,Ex,6,Attchd,2008.0,554.0,TA,2008,227680.0
807,RL,9750,Reg,5,1967,Gable,PConc,980.0,GasA,SBrkr,980,TA,6,Attchd,1967.0,384.0,TA,2006,135500.0
808,RL,21384,Reg,6,1923,Gable,CBlock,1324.0,GasA,SBrkr,1576,Gd,6,Attchd,1923.0,528.0,TA,2009,223500.0
809,RL,13400,Reg,5,1966,Gable,CBlock,1024.0,GasA,SBrkr,1086,TA,6,Attchd,1966.0,484.0,TA,2006,159950.0
810,RM,8100,Reg,5,1898,Hip,PConc,849.0,GasA,FuseA,2138,TA,11,Detchd,1910.0,360.0,Po,2009,106000.0
811,RL,10140,Reg,6,1974,Hip,CBlock,1040.0,GasA,SBrkr,1309,Gd,5,Attchd,1974.0,484.0,TA,2006,181000.0
812,RM,4438,Reg,5,2004,Gable,PConc,848.0,GasA,SBrkr,848,Gd,4,Attchd,2004.0,420.0,TA,2008,144500.0
813,C (all),8712,Reg,5,1952,Hip,CBlock,540.0,GasA,FuseA,1044,Fa,4,Basment,1952.0,504.0,TA,2010,55993.0
814,RL,9750,Reg,6,1958,Gable,CBlock,1442.0,GasA,SBrkr,1442,TA,7,Attchd,1958.0,301.0,TA,2007,157900.0
815,RL,8248,Reg,7,1918,Gable,BrkTil,686.0,GasW,SBrkr,1250,Fa,7,Detchd,1955.0,280.0,TA,2006,116000.0
816,RL,12137,IR2,5,1998,Gable,PConc,1649.0,GasA,SBrkr,1661,Gd,6,Attchd,1998.0,598.0,TA,2010,224900.0
817,RL,11425,IR1,6,1954,Gable,CBlock,1008.0,GasA,SBrkr,1008,TA,4,Attchd,1954.0,275.0,TA,2006,137000.0
818,RL,13265,IR1,5,2002,Hip,PConc,1568.0,GasA,SBrkr,1689,Gd,7,Attchd,2002.0,857.0,TA,2008,271000.0
819,RL,8816,Reg,7,1971,Gable,CBlock,1010.0,GasA,SBrkr,1052,TA,6,Attchd,1971.0,440.0,TA,2010,155000.0
820,RL,6371,IR1,5,2009,Gable,PConc,1358.0,GasA,SBrkr,1358,Gd,6,Attchd,2010.0,484.0,TA,2010,224000.0
821,RL,7226,IR1,5,2003,Gable,PConc,798.0,GasA,SBrkr,1640,Gd,6,Attchd,2003.0,595.0,TA,2008,183000.0
822,RM,6000,Reg,4,1953,Gable,CBlock,936.0,GasA,SBrkr,936,TA,4,Detchd,1974.0,576.0,TA,2009,93000.0
823,RL,12394,IR1,5,2003,Gable,PConc,847.0,GasA,SBrkr,1733,Gd,7,BuiltIn,2003.0,433.0,TA,2007,225000.0
824,RL,9900,Reg,7,1940,Gable,BrkTil,778.0,GasA,SBrkr,1489,TA,7,Detchd,1940.0,240.0,TA,2009,139500.0
825,FV,11216,Reg,5,2006,Gable,PConc,1489.0,GasA,SBrkr,1489,Gd,7,Attchd,2006.0,776.0,TA,2006,232600.0
826,RL,14803,Reg,5,2007,Hip,PConc,2078.0,GasA,SBrkr,2084,Ex,7,Attchd,2007.0,1220.0,TA,2008,385000.0
828,RL,8529,IR1,5,2001,Gable,PConc,1454.0,GasA,SBrkr,1434,Gd,6,Attchd,2001.0,527.0,TA,2009,189000.0
