No,year,month,day,hour,pm2.5
26556,2013,1,11,11,377.0
26557,2013,1,11,12,361.0
26558,2013,1,11,13,343.0
26559,2013,1,11,14,356.0
26560,2013,1,11,15,353.0
26561,2013,1,11,16,340.0
26565,2013,1,11,20,325.0
26567,2013,1,11,22,371.0
26568,2013,1,11,23,369.0
26569,2013,1,12,0,374.0
26570,2013,1,12,1,391.0
26571,2013,1,12,2,442.0
26572,2013,1,12,3,425.0
26573,2013,1,12,4,442.0
26579,2013,1,12,10,319.0
26580,2013,1,12,11,383.0
26581,2013,1,12,12,472.0
26582,2013,1,12,13,458.0
26583,2013,1,12,14,529.0
26584,2013,1,12,15,802.0
26585,2013,1,12,16,845.0
26586,2013,1,12,17,810.0
26587,2013,1,12,18,776.0
26588,2013,1,12,19,824.0
26589,2013,1,12,20,886.0
26590,2013,1,12,21,852.0
26591,2013,1,12,22,858.0
26592,2013,1,12,23,805.0
26593,2013,1,13,0,744.0
26594,2013,1,13,1,731.0
26595,2013,1,13,2,722.0
26596,2013,1,13,3,684.0
26597,2013,1,13,4,651.0
26598,2013,1,13,5,673.0
26599,2013,1,13,6,584.0
26600,2013,1,13,7,475.0
26601,2013,1,13,8,341.0
26606,2013,1,13,13,419.0
26608,2013,1,13,15,323.0
26609,2013,1,13,16,326.0
26610,2013,1,13,17,325.0
26611,2013,1,13,18,334.0
26612,2013,1,13,19,343.0
26613,2013,1,13,20,333.0
26614,2013,1,13,21,311.0
26615,2013,1,13,22,304.0
26616,2013,1,13,23,301.0
26617,2013,1,14,0,309.0
26619,2013,1,14,2,362.0
26620,2013,1,14,3,523.0
26621,2013,1,14,4,468.0
26622,2013,1,14,5,447.0
26623,2013,1,14,6,328.0
26624,2013,1,14,7,308.0
26625,2013,1,14,8,358.0
26629,2013,1,14,12,335.0
26630,2013,1,14,13,345.0
26631,2013,1,14,14,307.0
26729,2013,1,18,16,450.0
26730,2013,1,18,17,372.0
26731,2013,1,18,18,358.0
26732,2013,1,18,19,448.0
26733,2013,1,18,20,485.0
26734,2013,1,18,21,557.0
26735,2013,1,18,22,573.0
26736,2013,1,18,23,603.0
26737,2013,1,19,0,412.0
26739,2013,1,19,2,312.0
26747,2013,1,19,10,371.0
26748,2013,1,19,11,353.0
26824,2013,1,22,15,326.0
26825,2013,1,22,16,382.0
26826,2013,1,22,17,352.0
26827,2013,1,22,18,366.0
26828,2013,1,22,19,396.0
26829,2013,1,22,20,398.0
26830,2013,1,22,21,374.0
26831,2013,1,22,22,412.0
26832,2013,1,22,23,437.0
26833,2013,1,23,0,453.0
26834,2013,1,23,1,439.0
26835,2013,1,23,2,439.0
26836,2013,1,23,3,437.0
26837,2013,1,23,4,411.0
26838,2013,1,23,5,424.0
26839,2013,1,23,6,417.0
26840,2013,1,23,7,422.0
26841,2013,1,23,8,394.0
26842,2013,1,23,9,388.0
26843,2013,1,23,10,401.0
26844,2013,1,23,11,402.0
26845,2013,1,23,12,396.0
26846,2013,1,23,13,395.0
26847,2013,1,23,14,392.0
26848,2013,1,23,15,359.0
26849,2013,1,23,16,301.0
26852,2013,1,23,19,321.0
26853,2013,1,23,20,336.0
26854,2013,1,23,21,399.0
26855,2013,1,23,22,378.0
26856,2013,1,23,23,398.0
26930,2013,1,27,1,307.0
26931,2013,1,27,2,347.0
26932,2013,1,27,3,318.0
26936,2013,1,27,7,312.0
26937,2013,1,27,8,310.0
26939,2013,1,27,10,387.0
26940,2013,1,27,11,340.0
26941,2013,1,27,12,306.0
26942,2013,1,27,13,321.0
26943,2013,1,27,14,322.0
26944,2013,1,27,15,313.0
26945,2013,1,27,16,320.0
26948,2013,1,27,19,314.0
26949,2013,1,27,20,317.0
26950,2013,1,27,21,329.0
26951,2013,1,27,22,306.0
26952,2013,1,27,23,318.0
26953,2013,1,28,0,340.0
26954,2013,1,28,1,359.0
26955,2013,1,28,2,362.0
26956,2013,1,28,3,369.0
26957,2013,1,28,4,364.0
26958,2013,1,28,5,364.0
26959,2013,1,28,6,357.0
26960,2013,1,28,7,362.0
26961,2013,1,28,8,369.0
26962,2013,1,28,9,348.0
26963,2013,1,28,10,348.0
26964,2013,1,28,11,357.0
26965,2013,1,28,12,367.0
26966,2013,1,28,13,384.0
26967,2013,1,28,14,394.0
26968,2013,1,28,15,409.0
26969,2013,1,28,16,496.0
26970,2013,1,28,17,490.0
26971,2013,1,28,18,459.0
26972,2013,1,28,19,446.0
26973,2013,1,28,20,444.0
26974,2013,1,28,21,443.0
26975,2013,1,28,22,444.0
26976,2013,1,28,23,510.0
26977,2013,1,29,0,508.0
26978,2013,1,29,1,490.0
26979,2013,1,29,2,472.0
26980,2013,1,29,3,451.0
26981,2013,1,29,4,448.0
26983,2013,1,29,6,526.0
26984,2013,1,29,7,460.0
26985,2013,1,29,8,438.0
26986,2013,1,29,9,425.0
26987,2013,1,29,10,462.0
26988,2013,1,29,11,493.0
26989,2013,1,29,12,484.0
26990,2013,1,29,13,463.0
26991,2013,1,29,14,476.0
26992,2013,1,29,15,445.0
26993,2013,1,29,16,441.0
26994,2013,1,29,17,436.0
26995,2013,1,29,18,411.0
26996,2013,1,29,19,389.0
26997,2013,1,29,20,357.0
26998,2013,1,29,21,345.0
26999,2013,1,29,22,335.0
27000,2013,1,29,23,322.0
27001,2013,1,30,0,316.0
27002,2013,1,30,1,315.0
27003,2013,1,30,2,304.0
27011,2013,1,30,10,302.0
27025,2013,1,31,0,311.0
27262,2013,2,9,21,428.0
27263,2013,2,9,22,512.0
27266,2013,2,10,1,419.0
27344,2013,2,13,7,304.0
27345,2013,2,13,8,307.0
27346,2013,2,13,9,326.0
27347,2013,2,13,10,352.0
27348,2013,2,13,11,341.0
27349,2013,2,13,12,344.0
27350,2013,2,13,13,365.0
27351,2013,2,13,14,348.0
27352,2013,2,13,15,330.0
27353,2013,2,13,16,334.0
27354,2013,2,13,17,320.0
27356,2013,2,13,19,312.0
27359,2013,2,13,22,344.0
27360,2013,2,13,23,384.0
27361,2013,2,14,0,392.0
27362,2013,2,14,1,374.0
27551,2013,2,21,22,316.0
27552,2013,2,21,23,332.0
27553,2013,2,22,0,339.0
27554,2013,2,22,1,322.0
27555,2013,2,22,2,321.0
27599,2013,2,23,22,356.0
27600,2013,2,23,23,364.0
27601,2013,2,24,0,426.0
27602,2013,2,24,1,397.0
27603,2013,2,24,2,417.0
27604,2013,2,24,3,372.0
27605,2013,2,24,4,318.0
27612,2013,2,24,11,319.0
27613,2013,2,24,12,347.0
27614,2013,2,24,13,337.0
27615,2013,2,24,14,320.0
27616,2013,2,24,15,323.0
27617,2013,2,24,16,318.0
27618,2013,2,24,17,313.0
27619,2013,2,24,18,316.0
27620,2013,2,24,19,313.0
27621,2013,2,24,20,404.0
27622,2013,2,24,21,532.0
27623,2013,2,24,22,386.0
27624,2013,2,24,23,383.0
27670,2013,2,26,21,341.0
27671,2013,2,26,22,370.0
27672,2013,2,26,23,382.0
27673,2013,2,27,0,415.0
27674,2013,2,27,1,414.0
27675,2013,2,27,2,415.0
27676,2013,2,27,3,408.0
27677,2013,2,27,4,414.0
27678,2013,2,27,5,403.0
27679,2013,2,27,6,395.0
27680,2013,2,27,7,394.0
27681,2013,2,27,8,330.0
27697,2013,2,28,0,367.0
27698,2013,2,28,1,392.0
27699,2013,2,28,2,400.0
27700,2013,2,28,3,441.0
27701,2013,2,28,4,466.0
27702,2013,2,28,5,485.0
27703,2013,2,28,6,525.0
27704,2013,2,28,7,502.0
27705,2013,2,28,8,449.0
27706,2013,2,28,9,469.0
27707,2013,2,28,10,510.0
27841,2013,3,6,0,302.0
27869,2013,3,7,4,338.0
27870,2013,3,7,5,334.0
27871,2013,3,7,6,344.0
27872,2013,3,7,7,351.0
27873,2013,3,7,8,331.0
27874,2013,3,7,9,327.0
27875,2013,3,7,10,306.0
27877,2013,3,7,12,363.0
27878,2013,3,7,13,306.0
27886,2013,3,7,21,510.0
27887,2013,3,7,22,516.0
27888,2013,3,7,23,469.0
27889,2013,3,8,0,450.0
27890,2013,3,8,1,397.0
27891,2013,3,8,2,365.0
27892,2013,3,8,3,364.0
27893,2013,3,8,4,357.0
27894,2013,3,8,5,357.0
27895,2013,3,8,6,350.0
27896,2013,3,8,7,337.0
27897,2013,3,8,8,323.0
27898,2013,3,8,9,306.0
27903,2013,3,8,14,410.0
28072,2013,3,15,15,302.0
28076,2013,3,15,19,302.0
28077,2013,3,15,20,324.0
28078,2013,3,15,21,315.0
28079,2013,3,15,22,328.0
28080,2013,3,15,23,355.0
28081,2013,3,16,0,405.0
28082,2013,3,16,1,347.0
28083,2013,3,16,2,346.0
28084,2013,3,16,3,342.0
28085,2013,3,16,4,327.0
28086,2013,3,16,5,332.0
28087,2013,3,16,6,328.0
28089,2013,3,16,8,325.0
28090,2013,3,16,9,315.0
28116,2013,3,17,11,316.0
28117,2013,3,17,12,337.0
28118,2013,3,17,13,359.0
28119,2013,3,17,14,394.0
28120,2013,3,17,15,393.0
28121,2013,3,17,16,402.0
28122,2013,3,17,17,400.0
28123,2013,3,17,18,422.0
28124,2013,3,17,19,429.0
28125,2013,3,17,20,480.0
28126,2013,3,17,21,512.0
28127,2013,3,17,22,541.0
28128,2013,3,17,23,522.0
28129,2013,3,18,0,498.0
28130,2013,3,18,1,517.0
29307,2013,5,6,2,314.0
29308,2013,5,6,3,301.0
29309,2013,5,6,4,320.0
29310,2013,5,6,5,315.0
29311,2013,5,6,6,318.0
29312,2013,5,6,7,312.0
30579,2013,6,28,2,339.0
30580,2013,6,28,3,342.0
30592,2013,6,28,15,369.0
30593,2013,6,28,16,428.0
30594,2013,6,28,17,432.0
30595,2013,6,28,18,441.0
30596,2013,6,28,19,466.0
30597,2013,6,28,20,448.0
30598,2013,6,28,21,406.0
32950,2013,10,4,21,357.0
32951,2013,10,4,22,388.0
32952,2013,10,4,23,403.0
32953,2013,10,5,0,393.0
32954,2013,10,5,1,395.0
32955,2013,10,5,2,379.0
32956,2013,10,5,3,346.0
32957,2013,10,5,4,319.0
32961,2013,10,5,8,310.0
32962,2013,10,5,9,322.0
32963,2013,10,5,10,308.0
32964,2013,10,5,11,301.0
32972,2013,10,5,19,316.0
32973,2013,10,5,20,342.0
32974,2013,10,5,21,337.0
32975,2013,10,5,22,308.0
32976,2013,10,5,23,324.0
32977,2013,10,6,0,353.0
32978,2013,10,6,1,365.0
32979,2013,10,6,2,320.0
33286,2013,10,18,21,302.0
33501,2013,10,27,20,310.0
33502,2013,10,27,21,335.0
33503,2013,10,27,22,347.0
33504,2013,10,27,23,385.0
33505,2013,10,28,0,407.0
33506,2013,10,28,1,402.0
33507,2013,10,28,2,348.0
33508,2013,10,28,3,318.0
33522,2013,10,28,17,321.0
33523,2013,10,28,18,327.0
33524,2013,10,28,19,348.0
33525,2013,10,28,20,393.0
33526,2013,10,28,21,386.0
33527,2013,10,28,22,385.0
33528,2013,10,28,23,359.0
33529,2013,10,29,0,367.0
33603,2013,11,1,2,311.0
33605,2013,11,1,4,308.0
33636,2013,11,2,11,323.0
33637,2013,11,2,12,356.0
33638,2013,11,2,13,388.0
33639,2013,11,2,14,329.0
33640,2013,11,2,15,310.0
33642,2013,11,2,17,309.0
33645,2013,11,2,20,331.0
33646,2013,11,2,21,320.0
33647,2013,11,2,22,325.0
33648,2013,11,2,23,316.0
33649,2013,11,3,0,334.0
33650,2013,11,3,1,326.0
33651,2013,11,3,2,314.0
33719,2013,11,5,22,304.0
34125,2013,11,22,20,323.0
34126,2013,11,22,21,347.0
34127,2013,11,22,22,352.0
34128,2013,11,22,23,365.0
34129,2013,11,23,0,383.0
34130,2013,11,23,1,314.0
34132,2013,11,23,3,387.0
34133,2013,11,23,4,394.0
34155,2013,11,24,2,303.0
34156,2013,11,24,3,347.0
34465,2013,12,7,0,330.0
34466,2013,12,7,1,407.0
34467,2013,12,7,2,430.0
34468,2013,12,7,3,415.0
34469,2013,12,7,4,343.0
34470,2013,12,7,5,320.0
34479,2013,12,7,14,366.0
34480,2013,12,7,15,392.0
34481,2013,12,7,16,421.0
34482,2013,12,7,17,450.0
34483,2013,12,7,18,443.0
34484,2013,12,7,19,429.0
34485,2013,12,7,20,439.0
34486,2013,12,7,21,460.0
34487,2013,12,7,22,480.0
34488,2013,12,7,23,424.0
34489,2013,12,8,0,440.0
34490,2013,12,8,1,403.0
34491,2013,12,8,2,403.0
34492,2013,12,8,3,389.0
34493,2013,12,8,4,432.0
34494,2013,12,8,5,432.0
34495,2013,12,8,6,435.0
34496,2013,12,8,7,403.0
34497,2013,12,8,8,379.0
34498,2013,12,8,9,346.0
34499,2013,12,8,10,354.0
34500,2013,12,8,11,343.0
34682,2013,12,16,1,331.0
34705,2013,12,17,0,310.0
34707,2013,12,17,2,302.0
34843,2013,12,22,18,315.0
34844,2013,12,22,19,317.0
34845,2013,12,22,20,325.0
34846,2013,12,22,21,348.0
34847,2013,12,22,22,336.0
34848,2013,12,22,23,334.0
34849,2013,12,23,0,345.0
34850,2013,12,23,1,332.0
34851,2013,12,23,2,337.0
34852,2013,12,23,3,384.0
34875,2013,12,24,2,334.0
34876,2013,12,24,3,417.0
34877,2013,12,24,4,457.0
34878,2013,12,24,5,426.0
34879,2013,12,24,6,377.0
34880,2013,12,24,7,346.0
34881,2013,12,24,8,332.0
34887,2013,12,24,14,313.0
34888,2013,12,24,15,337.0
34889,2013,12,24,16,362.0
34890,2013,12,24,17,333.0
34891,2013,12,24,18,312.0
34892,2013,12,24,19,309.0
34893,2013,12,24,20,332.0
34895,2013,12,24,22,302.0
34899,2013,12,25,2,329.0
34900,2013,12,25,3,326.0
34901,2013,12,25,4,305.0
35420,2014,1,15,19,435.0
35421,2014,1,15,20,489.0
35422,2014,1,15,21,513.0
35423,2014,1,15,22,539.0
35424,2014,1,15,23,567.0
35425,2014,1,16,0,569.0
35426,2014,1,16,1,659.0
35427,2014,1,16,2,648.0
35428,2014,1,16,3,651.0
35429,2014,1,16,4,671.0
35430,2014,1,16,5,623.0
35431,2014,1,16,6,618.0
35432,2014,1,16,7,532.0
35433,2014,1,16,8,477.0
35434,2014,1,16,9,479.0
35435,2014,1,16,10,490.0
35436,2014,1,16,11,476.0
35437,2014,1,16,12,457.0
35438,2014,1,16,13,327.0
35442,2014,1,16,17,310.0
35443,2014,1,16,18,332.0
35444,2014,1,16,19,391.0
35445,2014,1,16,20,437.0
35446,2014,1,16,21,422.0
35447,2014,1,16,22,320.0
35448,2014,1,16,23,346.0
35449,2014,1,17,0,351.0
35470,2014,1,17,21,384.0
35471,2014,1,17,22,381.0
35593,2014,1,23,0,324.0
35594,2014,1,23,1,344.0
35595,2014,1,23,2,356.0
35596,2014,1,23,3,366.0
35597,2014,1,23,4,350.0
35598,2014,1,23,5,321.0
35604,2014,1,23,11,311.0
35611,2014,1,23,18,310.0
35613,2014,1,23,20,301.0
35614,2014,1,23,21,325.0
35615,2014,1,23,22,319.0
35616,2014,1,23,23,335.0
35617,2014,1,24,0,301.0
35618,2014,1,24,1,312.0
35619,2014,1,24,2,316.0
35786,2014,1,31,1,469.0
35787,2014,1,31,2,344.0
36137,2014,2,14,16,307.0
36138,2014,2,14,17,323.0
36139,2014,2,14,18,311.0
36140,2014,2,14,19,327.0
36141,2014,2,14,20,362.0
36142,2014,2,14,21,487.0
36143,2014,2,14,22,436.0
36144,2014,2,14,23,436.0
36145,2014,2,15,0,579.0
36146,2014,2,15,1,649.0
36147,2014,2,15,2,457.0
36148,2014,2,15,3,466.0
36149,2014,2,15,4,408.0
36150,2014,2,15,5,344.0
36151,2014,2,15,6,322.0
36153,2014,2,15,8,319.0
36158,2014,2,15,13,327.0
36159,2014,2,15,14,348.0
36160,2014,2,15,15,418.0
36161,2014,2,15,16,423.0
36162,2014,2,15,17,366.0
36163,2014,2,15,18,338.0
36164,2014,2,15,19,347.0
36165,2014,2,15,20,336.0
36166,2014,2,15,21,351.0
36167,2014,2,15,22,353.0
36168,2014,2,15,23,375.0
36169,2014,2,16,0,382.0
36170,2014,2,16,1,393.0
36171,2014,2,16,2,388.0
36172,2014,2,16,3,376.0
36173,2014,2,16,4,382.0
36174,2014,2,16,5,362.0
36175,2014,2,16,6,345.0
36176,2014,2,16,7,328.0
36177,2014,2,16,8,323.0
36281,2014,2,20,16,327.0
36282,2014,2,20,17,347.0
36283,2014,2,20,18,384.0
36284,2014,2,20,19,392.0
36285,2014,2,20,20,400.0
36286,2014,2,20,21,394.0
36287,2014,2,20,22,448.0
36288,2014,2,20,23,424.0
36289,2014,2,21,0,400.0
36290,2014,2,21,1,398.0
36291,2014,2,21,2,383.0
36292,2014,2,21,3,357.0
36293,2014,2,21,4,367.0
36294,2014,2,21,5,335.0
36295,2014,2,21,6,313.0
36296,2014,2,21,7,328.0
36297,2014,2,21,8,324.0
36298,2014,2,21,9,305.0
36302,2014,2,21,13,334.0
36303,2014,2,21,14,328.0
36304,2014,2,21,15,327.0
36305,2014,2,21,16,326.0
36306,2014,2,21,17,309.0
36307,2014,2,21,18,321.0
36308,2014,2,21,19,340.0
36309,2014,2,21,20,346.0
36310,2014,2,21,21,330.0
36311,2014,2,21,22,340.0
36312,2014,2,21,23,353.0
36313,2014,2,22,0,384.0
36314,2014,2,22,1,383.0
36315,2014,2,22,2,399.0
36316,2014,2,22,3,340.0
36317,2014,2,22,4,327.0
36320,2014,2,22,7,333.0
36321,2014,2,22,8,336.0
36322,2014,2,22,9,350.0
36323,2014,2,22,10,305.0
36325,2014,2,22,12,323.0
36326,2014,2,22,13,377.0
36327,2014,2,22,14,357.0
36328,2014,2,22,15,360.0
36329,2014,2,22,16,350.0
36330,2014,2,22,17,339.0
36331,2014,2,22,18,335.0
36332,2014,2,22,19,341.0
36333,2014,2,22,20,352.0
36334,2014,2,22,21,355.0
36335,2014,2,22,22,327.0
36336,2014,2,22,23,303.0
36352,2014,2,23,15,316.0
36353,2014,2,23,16,336.0
36354,2014,2,23,17,333.0
36355,2014,2,23,18,348.0
36356,2014,2,23,19,360.0
36357,2014,2,23,20,358.0
36358,2014,2,23,21,358.0
36359,2014,2,23,22,357.0
36360,2014,2,23,23,362.0
36361,2014,2,24,0,348.0
36362,2014,2,24,1,323.0
36363,2014,2,24,2,339.0
36364,2014,2,24,3,339.0
36365,2014,2,24,4,339.0
36366,2014,2,24,5,341.0
36367,2014,2,24,6,344.0
36368,2014,2,24,7,335.0
36369,2014,2,24,8,329.0
36370,2014,2,24,9,323.0
36371,2014,2,24,10,350.0
36372,2014,2,24,11,341.0
36373,2014,2,24,12,347.0
36374,2014,2,24,13,356.0
36375,2014,2,24,14,342.0
36376,2014,2,24,15,366.0
36377,2014,2,24,16,358.0
36378,2014,2,24,17,391.0
36379,2014,2,24,18,425.0
36380,2014,2,24,19,387.0
36381,2014,2,24,20,363.0
36382,2014,2,24,21,343.0
36383,2014,2,24,22,353.0
36384,2014,2,24,23,357.0
36385,2014,2,25,0,371.0
36386,2014,2,25,1,394.0
36387,2014,2,25,2,453.0
36388,2014,2,25,3,453.0
36389,2014,2,25,4,485.0
36390,2014,2,25,5,463.0
36391,2014,2,25,6,463.0
36392,2014,2,25,7,418.0
36393,2014,2,25,8,384.0
36394,2014,2,25,9,371.0
36395,2014,2,25,10,369.0
36396,2014,2,25,11,374.0
36397,2014,2,25,12,397.0
36398,2014,2,25,13,397.0
36399,2014,2,25,14,389.0
36400,2014,2,25,15,410.0
36401,2014,2,25,16,436.0
36402,2014,2,25,17,462.0
36403,2014,2,25,18,482.0
36404,2014,2,25,19,501.0
36405,2014,2,25,20,507.0
36406,2014,2,25,21,523.0
36407,2014,2,25,22,545.0
36408,2014,2,25,23,577.0
36409,2014,2,26,0,541.0
36410,2014,2,26,1,532.0
36411,2014,2,26,2,534.0
36412,2014,2,26,3,495.0
36413,2014,2,26,4,483.0
36414,2014,2,26,5,474.0
36415,2014,2,26,6,478.0
36416,2014,2,26,7,496.0
36417,2014,2,26,8,519.0
36418,2014,2,26,9,526.0
36419,2014,2,26,10,512.0
36420,2014,2,26,11,557.0
36421,2014,2,26,12,551.0
36422,2014,2,26,13,562.0
36423,2014,2,26,14,542.0
36424,2014,2,26,15,502.0
36425,2014,2,26,16,525.0
36426,2014,2,26,17,446.0
36529,2014,3,3,0,306.0
36543,2014,3,3,14,322.0
36544,2014,3,3,15,308.0
36732,2014,3,11,11,303.0
37059,2014,3,25,2,326.0
37060,2014,3,25,3,324.0
37061,2014,3,25,4,320.0
37087,2014,3,26,6,311.0
37089,2014,3,26,8,317.0
37090,2014,3,26,9,330.0
37091,2014,3,26,10,346.0
37092,2014,3,26,11,350.0
37093,2014,3,26,12,331.0
37094,2014,3,26,13,327.0
37095,2014,3,26,14,327.0
37099,2014,3,26,18,309.0
37100,2014,3,26,19,336.0
37101,2014,3,26,20,360.0
37102,2014,3,26,21,387.0
37103,2014,3,26,22,399.0
37104,2014,3,26,23,414.0
37105,2014,3,27,0,465.0
37106,2014,3,27,1,436.0
37107,2014,3,27,2,435.0
37108,2014,3,27,3,426.0
37109,2014,3,27,4,413.0
37110,2014,3,27,5,358.0
37111,2014,3,27,6,389.0
37112,2014,3,27,7,349.0
37113,2014,3,27,8,340.0
37114,2014,3,27,9,336.0
37115,2014,3,27,10,369.0
37116,2014,3,27,11,403.0
37117,2014,3,27,12,444.0
37118,2014,3,27,13,306.0
37437,2014,4,9,20,580.0
39484,2014,7,4,3,303.0
41784,2014,10,7,23,326.0
41785,2014,10,8,0,301.0
41800,2014,10,8,15,320.0
41801,2014,10,8,16,364.0
41802,2014,10,8,17,383.0
41803,2014,10,8,18,402.0
41804,2014,10,8,19,396.0
41805,2014,10,8,20,419.0
41806,2014,10,8,21,432.0
41807,2014,10,8,22,432.0
41808,2014,10,8,23,406.0
41809,2014,10,9,0,388.0
41810,2014,10,9,1,368.0
41811,2014,10,9,2,355.0
41812,2014,10,9,3,349.0
41813,2014,10,9,4,353.0
41814,2014,10,9,5,345.0
41815,2014,10,9,6,341.0
41816,2014,10,9,7,337.0
41817,2014,10,9,8,342.0
41818,2014,10,9,9,342.0
41819,2014,10,9,10,334.0
41820,2014,10,9,11,337.0
41821,2014,10,9,12,343.0
41822,2014,10,9,13,350.0
41823,2014,10,9,14,364.0
41824,2014,10,9,15,373.0
41825,2014,10,9,16,385.0
41826,2014,10,9,17,398.0
41827,2014,10,9,18,430.0
41828,2014,10,9,19,442.0
41829,2014,10,9,20,443.0
41830,2014,10,9,21,438.0
41831,2014,10,9,22,420.0
41832,2014,10,9,23,454.0
41833,2014,10,10,0,430.0
41834,2014,10,10,1,396.0
41835,2014,10,10,2,386.0
41836,2014,10,10,3,375.0
41837,2014,10,10,4,344.0
41838,2014,10,10,5,348.0
41839,2014,10,10,6,338.0
41840,2014,10,10,7,319.0
41841,2014,10,10,8,324.0
41842,2014,10,10,9,323.0
41843,2014,10,10,10,331.0
41844,2014,10,10,11,332.0
41845,2014,10,10,12,328.0
41846,2014,10,10,13,310.0
41852,2014,10,10,19,302.0
41853,2014,10,10,20,331.0
41854,2014,10,10,21,330.0
41855,2014,10,10,22,308.0
41856,2014,10,10,23,322.0
41857,2014,10,11,0,328.0
41858,2014,10,11,1,303.0
41860,2014,10,11,3,317.0
41861,2014,10,11,4,314.0
42046,2014,10,18,21,315.0
42047,2014,10,18,22,357.0
42048,2014,10,18,23,382.0
42049,2014,10,19,0,406.0
42050,2014,10,19,1,405.0
42051,2014,10,19,2,389.0
42052,2014,10,19,3,397.0
42053,2014,10,19,4,413.0
42054,2014,10,19,5,373.0
42055,2014,10,19,6,362.0
42056,2014,10,19,7,356.0
42057,2014,10,19,8,344.0
42058,2014,10,19,9,352.0
42059,2014,10,19,10,357.0
42060,2014,10,19,11,353.0
42184,2014,10,24,15,317.0
42185,2014,10,24,16,318.0
42186,2014,10,24,17,323.0
42187,2014,10,24,18,339.0
42188,2014,10,24,19,341.0
42189,2014,10,24,20,346.0
42190,2014,10,24,21,356.0
42191,2014,10,24,22,383.0
42192,2014,10,24,23,363.0
42193,2014,10,25,0,381.0
42194,2014,10,25,1,352.0
42195,2014,10,25,2,319.0
42196,2014,10,25,3,310.0
42197,2014,10,25,4,331.0
42198,2014,10,25,5,332.0
42199,2014,10,25,6,315.0
42200,2014,10,25,7,312.0
42201,2014,10,25,8,310.0
42202,2014,10,25,9,324.0
42203,2014,10,25,10,330.0
42204,2014,10,25,11,324.0
42205,2014,10,25,12,331.0
42206,2014,10,25,13,346.0
42207,2014,10,25,14,352.0
42208,2014,10,25,15,376.0
42209,2014,10,25,16,402.0
42210,2014,10,25,17,423.0
42211,2014,10,25,18,440.0
42212,2014,10,25,19,449.0
42213,2014,10,25,20,472.0
42214,2014,10,25,21,453.0
42215,2014,10,25,22,413.0
42216,2014,10,25,23,396.0
42217,2014,10,26,0,395.0
42218,2014,10,26,1,379.0
42219,2014,10,26,2,341.0
42220,2014,10,26,3,312.0
42726,2014,11,16,5,304.0
42795,2014,11,19,2,333.0
42796,2014,11,19,3,371.0
42797,2014,11,19,4,354.0
42803,2014,11,19,10,320.0
42805,2014,11,19,12,346.0
42806,2014,11,19,13,311.0
42807,2014,11,19,14,372.0
42808,2014,11,19,15,399.0
42809,2014,11,19,16,370.0
42810,2014,11,19,17,327.0
42811,2014,11,19,18,346.0
42812,2014,11,19,19,351.0
42813,2014,11,19,20,362.0
42814,2014,11,19,21,394.0
42815,2014,11,19,22,409.0
42816,2014,11,19,23,384.0
42817,2014,11,20,0,393.0
42818,2014,11,20,1,380.0
42819,2014,11,20,2,330.0
42820,2014,11,20,3,324.0
42821,2014,11,20,4,334.0
42822,2014,11,20,5,334.0
42823,2014,11,20,6,368.0
42824,2014,11,20,7,360.0
42825,2014,11,20,8,324.0
42827,2014,11,20,10,305.0
42829,2014,11,20,12,314.0
42830,2014,11,20,13,315.0
42831,2014,11,20,14,306.0
42833,2014,11,20,16,315.0
42834,2014,11,20,17,332.0
42835,2014,11,20,18,342.0
42836,2014,11,20,19,338.0
42837,2014,11,20,20,375.0
42959,2014,11,25,22,311.0
42960,2014,11,25,23,342.0
42961,2014,11,26,0,323.0
42977,2014,11,26,16,330.0
42978,2014,11,26,17,350.0
42979,2014,11,26,18,350.0
42980,2014,11,26,19,388.0
42981,2014,11,26,20,379.0
42982,2014,11,26,21,436.0
42983,2014,11,26,22,502.0
42984,2014,11,26,23,522.0
42985,2014,11,27,0,470.0
42986,2014,11,27,1,439.0
42987,2014,11,27,2,362.0
43044,2014,11,29,11,325.0
43045,2014,11,29,12,301.0
43046,2014,11,29,13,311.0
43047,2014,11,29,14,369.0
43048,2014,11,29,15,380.0
43049,2014,11,29,16,393.0
43050,2014,11,29,17,344.0
43051,2014,11,29,18,343.0
43052,2014,11,29,19,343.0
43053,2014,11,29,20,323.0
43054,2014,11,29,21,328.0
43055,2014,11,29,22,312.0
43285,2014,12,9,12,339.0
43286,2014,12,9,13,355.0
43287,2014,12,9,14,388.0
43288,2014,12,9,15,390.0
43289,2014,12,9,16,375.0
43290,2014,12,9,17,367.0
43291,2014,12,9,18,352.0
43292,2014,12,9,19,351.0
43293,2014,12,9,20,356.0
43294,2014,12,9,21,367.0
43295,2014,12,9,22,361.0
43296,2014,12,9,23,350.0
43297,2014,12,10,0,311.0
43298,2014,12,10,1,319.0
43299,2014,12,10,2,331.0
43300,2014,12,10,3,303.0
43301,2014,12,10,4,301.0
43302,2014,12,10,5,306.0
43303,2014,12,10,6,311.0
43304,2014,12,10,7,318.0
43305,2014,12,10,8,325.0
43420,2014,12,15,3,305.0
43421,2014,12,15,4,307.0
43723,2014,12,27,18,317.0
43724,2014,12,27,19,328.0
43725,2014,12,27,20,349.0
43726,2014,12,27,21,327.0
43727,2014,12,27,22,348.0
43728,2014,12,27,23,363.0
43729,2014,12,28,0,385.0
